Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
16:12:40,15.16,15.16,15.16,15.16,15.16
16:12:41,15.2,15.2,15.2,15.2,15.2
16:12:42,15.16,15.2,15.2,15.2,15.2
16:12:43,15.2,15.2,15.2,15.2,15.16
16:12:44,15.16,15.2,15.16,15.2,15.2
16:12:45,15.16,15.2,15.16,15.16,15.2
16:12:46,15.2,15.2,15.2,15.2,15.2
16:13:04,15.2,15.2,15.2,15.2,15.24
16:13:09,15.16,15.16,15.16,15.16,15.2
16:13:14,15.24,15.2,15.2,15.2,15.24
16:13:19,15.16,15.16,15.2,15.2,15.2
16:13:24,15.2,15.2,15.2,15.2,15.2
16:13:29,15.2,15.2,15.16,15.2,15.2
16:13:34,15.2,15.28,15.2,15.2,15.24
16:13:39,15.2,15.2,15.2,15.2,15.16
16:13:44,15.16,15.12,15.16,15.16,15.2
16:13:50,15.16,15.16,15.2,15.2,15.2
16:13:55,15.2,15.16,15.2,15.24,15.28
16:14:00,15.2,15.2,15.2,15.2,15.2
16:14:05,15.24,15.2,15.24,15.2,15.32
16:14:10,15.16,15.16,15.2,15.2,15.2
16:14:15,15.24,15.2,15.2,15.24,15.24
16:14:20,15.16,15.2,15.2,15.2,15.2
16:14:25,15.2,15.2,15.16,15.2,15.2
16:14:30,15.2,15.2,15.24,15.24,15.2
16:14:34,15.2,15.2,15.2,15.2,15.2
16:14:39,15.2,15.2,15.2,15.2,15.2
16:14:44,15.2,15.16,15.16,15.2,15.2
16:14:49,15.2,15.2,15.2,15.2,15.16
16:14:54,15.2,15.2,15.24,15.2,15.16
16:15:12,15.24,15.2,15.2,15.2,15.2
16:15:22,15.16,15.16,15.16,15.2,15.2
16:15:32,15.24,15.2,15.16,15.2,15.2
16:15:43,15.2,15.16,15.2,15.2,15.2
16:15:53,15.28,15.24,15.16,15.2,15.24
16:16:03,15.2,15.24,15.2,15.2,15.2
16:16:13,15.16,15.16,15.16,15.16,15.16
16:16:23,15.2,15.2,15.2,15.16,15.16
16:16:32,15.2,15.2,15.16,15.2,15.28
16:16:42,15.16,15.24,15.16,15.16,15.16
16:16:52,15.2,15.2,15.2,15.16,15.2
16:17:02,15.2,15.2,15.2,15.28,15.24
16:17:12,15.2,15.2,15.2,15.16,15.2
16:17:22,15.2,15.2,15.2,15.2,15.2
16:17:33,15.2,15.24,15.2,15.16,15.2
16:17:43,15.12,15.2,15.2,15.24,15.24
16:17:53,15.16,15.16,15.2,15.16,15.16
16:18:03,15.16,15.2,15.2,15.2,15.12
16:18:13,15.2,15.2,15.2,15.2,15.16
16:18:23,15.2,15.2,15.2,15.16,15.16
16:18:33,15.2,15.2,15.2,15.2,15.24
16:18:43,15.2,15.2,15.16,15.16,15.16
16:18:53,15.2,15.16,15.2,15.2,15.2
16:19:03,15.28,15.16,15.2,15.2,15.2
16:19:13,15.2,15.2,15.2,15.2,15.2
16:19:23,15.2,15.2,15.24,15.2,15.32
16:19:32,15.16,15.16,15.16,15.2,15.16
16:19:42,15.16,15.16,15.16,15.16,15.16
16:19:52,15.2,15.2,15.2,15.2,15.2
16:20:02,15.2,15.2,15.2,15.24,15.2
16:20:12,15.2,15.16,15.2,15.2,15.16
16:20:22,15.2,15.2,15.2,15.16,15.2
16:20:32,15.2,15.2,15.2,15.2,15.2
16:20:42,15.2,15.2,15.2,15.2,15.24
16:20:52,15.2,15.2,15.2,15.12,15.2
16:21:02,15.16,15.24,15.16,15.2,15.12
16:21:12,15.2,15.2,15.2,15.2,15.16
16:21:22,15.2,15.16,15.2,15.2,15.24
16:21:32,15.2,15.16,15.2,15.2,15.2
16:21:42,15.2,15.2,15.2,15.2,15.2
16:21:52,15.2,15.24,15.2,15.2,15.2
16:22:02,15.2,15.16,15.16,15.16,15.2
16:22:12,15.12,15.16,15.16,15.12,15.12
16:22:22,15.2,15.24,15.2,15.2,15.2
16:22:32,15.16,15.2,15.24,15.2,15.24
16:22:42,15.16,15.12,15.16,15.16,15.16
16:22:52,15.2,15.16,15.2,15.16,15.2
16:23:02,15.2,15.2,15.2,15.2,15.16
16:23:12,15.2,15.2,15.28,15.2,15.2
16:23:22,15.2,15.2,15.2,15.2,15.16
16:23:32,15.16,15.2,15.36,15.16,15.2
16:23:42,15.2,15.24,15.2,15.16,15.2
16:23:52,15.2,15.2,15.2,15.2,15.2
16:24:02,15.2,15.12,15.2,15.24,15.2
16:24:12,15.2,15.16,15.16,15.16,15.16
16:24:22,15.2,15.28,15.16,15.28,15.2
16:24:32,15.2,15.2,15.2,15.2,15.2
16:24:42,15.16,15.2,15.2,15.2,15.24
16:24:52,15.2,15.16,15.2,15.2,15.2
16:25:02,15.2,15.2,15.16,15.16,15.2
16:25:12,15.2,15.24,15.24,15.2,15.16
16:25:22,15.2,15.08,15.2,15.24,15.2
16:25:32,15.2,15.2,15.2,15.2,15.2
16:25:42,15.2,15.2,15.2,15.2,15.24
16:25:52,15.16,15.16,15.16,15.16,15.16
16:26:02,15.2,15.16,15.2,15.2,15.24
16:26:12,15.2,15.2,15.2,15.16,15.2
16:26:22,15.2,15.16,15.16,15.16,15.16
16:26:32,15.2,15.16,15.2,15.2,15.2
16:26:42,15.2,15.16,15.2,15.2,15.2
16:26:52,15.2,15.2,15.16,15.24,15.2
16:27:02,15.16,15.16,15.16,15.16,15.16
16:27:12,15.16,15.16,15.16,15.16,15.16
16:27:22,15.16,15.16,15.12,15.16,15.2
16:27:32,15.2,15.24,15.16,15.2,15.2
16:27:42,15.16,15.2,15.2,15.16,15.2
16:27:52,15.24,15.2,15.16,15.2,15.2
16:28:02,15.2,15.2,15.2,15.2,15.16
16:28:12,15.16,15.2,15.2,15.2,15.2
16:28:22,15.2,15.16,15.2,15.2,15.16
16:28:32,15.2,15.16,15.2,15.2,15.2
16:28:42,15.2,15.2,15.24,15.2,15.2
16:28:52,15.2,15.2,15.16,15.16,15.24
16:29:02,15.2,15.16,15.16,15.2,15.2
16:29:12,15.2,15.2,15.28,15.16,15.2
16:29:22,15.2,15.2,15.2,15.2,15.2
16:29:32,15.2,15.16,15.2,15.2,15.16
16:29:42,15.2,15.2,15.2,15.16,15.2
